Image URL,Brand,Product Title,Price,Location,Item Number,Year,Condition,Shipping Info,Comes With,Size,Description
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/51271bd322ebe8107cf3075221194838.jpg,Hermes,Swift Heure H Hour Watch PM Double Tour Strap Gold,$325,Pickup today in our NYC Flagship,1493279,2018,Excellent,"['Exterior: Imprints', 'Hardware: Faint scratch(es)']",['FASHIONPHILE Certificate of Authenticity'],"{'Length': '14 in', 'Width': '0.5 in'}",This is an authentic HERMES Swift Heure H Hour Watch PM Double Tour Strap in Gold. This stylish watch band is crafted of luxurious swift leather in brown.
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/42414e97a5e849dc98e672838426c6b1.jpg,Hermes,Enamel Narrow Clic Clac H Bracelet PM Rose Candeur,$550,Pickup today in our NYC Flagship,1494846,,Excellent,['Hardware: Faint scratch(es)'],"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Pouch']","{'Circumference': '6.2 in', 'Width': '0.5 in', 'Diameter': '2.25 in'}","This is an authentic HERMES Enamel Narrow Clic Clac H Bracelet PM in Rose Candeur. This is a chic bracelet from Hermes that is classic yet very modern. It is polished gold tone with a hinge on one side and opens with a swivel Hermes ""H"" on the prominent side. Around the band is a strip of light pink colored enamel inlay."
https://prod-images.fashionphile.com/main/48736a5327444132575144feda2343bf/772c0c70daa9ab28c97bd0d402ba6f36.jpg,Hermes,Swift Jige Elan 29 Clutch Magnolia,"$3,205",Pickup today in our NYC Flagship,1390308,,Shows Wear,"['Exterior: Smoothing of leather, edge wear, imprints, faint scuffs', 'Interior: Imprints']","['FASHIONPHILE Certificate of Authenticity', 'Box', 'Dust bag']","{'Base length': '11.25 in', 'Height': '6 in', 'Width': '0.75 in'}","This is an authentic HERMES Swift Jige Elan 29 Clutch in Magnolia. This elegant neutral clutch bag is crafted of luxurious swift calfskin leather in bright pink. There is a cross over flap and a strap that tucks under a leather Hermes ""H."""
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/37546e5cfc778d2c6099e9fddf6b3eb0.jpg,Hermes,Togo Birkin 40 Black,"$12,950",Pickup today in our San Diego Flagship,1494066,2009,Worn,"['Interior: Residue marks, scuffs, musty odor, surface wear, marks, imprints, pocket(s) stretched', 'Exterior: Scuffs, structure loss, smoothing of leather, edge wear, marks, substantial corner wear, peeling', 'Handle: Smoothing of leather, creases, wear at resin glazing, marks, structure wear', 'Hardware: Scratch(es), tarnished']","['FASHIONPHILE Certificate of Authenticity', 'Clochette', 'Lock & 2 keys']","{'Length': '15.75 in', 'Height': '12.25 in', 'Width': '7.75 in', 'Drop': '3.75 in'}",This is an authentic HERMES Togo Birkin 40 in Black. This stylish tote is crafted of fine togo grained calfskin leather in black. The bag features rolled leather top handles and a cross over flap with strap closure and palladium plated hardware including a turn lock. The front flap opens to a matte leather interior of black goatskin leather with zipper and patch pockets.
https://prod-images.fashionphile.com/main/37087ba6c2934e611fd914eef462e387/7a7236d4675c0a032668f86bc29a53d7.jpg,Hermes,Epsom Collier de Chien CDC Bracelet S Blue Izmir,$450,Pickup today in our NYC Flagship,1307110,2016,Shows Wear,"['Exterior: Scuffs, marks, surface wear', 'Interior: Creases, surface wear, imprints', 'Hardware: Scratch(es)']","['FASHIONPHILE Certificate of Authenticity', 'Box', 'Pouch']","{'Circumference': '6.5 in', 'Width': '1.5 in'}","This is a charming and authentic HERMES Epsom Collier de Chien CDC Bracelet in Blue Izmir. This bracelet features a durable epsom stamped calfskin leather band in blue-green, a silver palladium plaque with four studs, a ring, and a stud adjustment plate."
https://prod-images.fashionphile.com/main/87e33dac43c98cd89be2d40a7e40ba04/6b692f70c3f3fe62529a2c41cd71eae0.jpg,Hermes,Togo Videpoches Etain Black Ebene,"$4,850",Pickup today in our NYC Flagship,1471046,2024,Giftable,"['Handle: Frayed', 'Exterior: Marks', 'Interior: Marks', 'Hardware: Faint scratch(es)']","['FASHIONPHILE Certificate of Authenticity', 'Box', 'Dust bag']","{'Base length': '10.75 in', 'Height': '5.5 in', 'Width': '1.75 in', 'Drop': '20.5 in'}","This is an authentic HERMES Togo Videpoches in Etain, Black, and Ebene. This small messenger style bag is finely crafted of Togo leather in grey. This bag features a black and dark brown canvas shoulder strap with silver palladium hardware. The fold over top flap opens to a matching leather interior with a flat pocket."
https://prod-images.fashionphile.com/main/d1e1c55907042d85331bbf75eca9d89b/a8580a1a876d625405fc1eb0ead7e680.jpg,Hermes,Vache Hunter Toile Herbag Zip 31 PM Magnolia Fauve,"$1,595",Pickup today in our NYC Flagship,1448031,2018,Shows Wear,"['Interior: Residue marks, ink marks, creases, surface wear', 'Exterior: Creases, scuffs, marks, imprints', 'Handle: Edge wear, scuffs', 'Hardware: Scratch(es)']","['FASHIONPHILE Certificate of Authenticity', 'Box', 'Dust bag', 'Clochette', 'Lock & 2 keys', 'Removable pouch']","{'Base length': '12.25 in', 'Height': '10.25 in', 'Width': '4 in', 'Drop': '18.5 in'}","This is an authentic HERMES Vache Hunter Toile Herbag Zip 31 PM in Magnolia and Fauve. This stylish tote is crafted of sturdy toile canvas in dark pink. The handbag features a rear exterior zip pocket, a natural brown leather top crest with a leather top handle, shoulder strap, and strap closure with palladium silver hardware. This opens to a toile canvas interior with a matching removable pouch."
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/c2c36c7b2e383ddd54b5c10876ecd1ce.jpg,Hermes,Military Toile Vache Hunter Herbag Messenger 39 Black,"$2,550",Pickup today in our San Diego Flagship,1492832,2022,Excellent,[],"['FASHIONPHILE Certificate of Authenticity', 'Dust bag', 'Clochette', 'Lock', '2 keys']","{'Base length': '15 in', 'Height': '112 in', 'Width': '6.25 in', 'Drop': '17 in'}","This is an authentic HERMES Military Toile Vache Hunter Herbag Messenger 39 in Black. This stylish large tote is crafted of sturdy black toile canvas and features a black smooth leather top crest with a leather top handle, shoulder strap, and strap closure with polished palladium silver plated hardware. This opens to a toile canvas interior and includes a zippered pouch."
https://prod-images.fashionphile.com/main/99c43962637efa5dd87eb2f3bfdee348/9d5427474247a9327a834a9c2d539dac.jpg,Hermes,Togo Sac A Depeches 21 Messenger Bag Orange,"$4,095",Pickup today in our NYC Flagship,1478237,2023,Excellent,"['Handle: Sizing marks', 'Interior: Creases, surface wear', 'Exterior: Indentations', 'Hardware: Faint scratch(es)']","['FASHIONPHILE Certificate of Authenticity', 'Dust bag', 'Clochette', '2 keys']","{'Base length': '8 in', 'Height': '6.5 in', 'Width': '1.5 in', 'Drop': '17.5 in'}",This is an authentic HERMES Togo Sac A Depeches 21 Messenger Bag in Orange. This stylish bag is crafted of textured togo calfskin leather in orange. The messenger features an optional leather shoulder strap and a crossover flap with an adjustable strap and silver palladium push lock closure. This opens to a matching leather interior with a pocket.
https://prod-images.fashionphile.com/main/ee9c6ac41a45f40584b6dbc9c3f7ec77/19d3c9e5f3ef542cf52d6f4db1a3357e.jpg,Hermes,Cashmere Silk Cheval De Fete Shawl 140 Rose Vif White Multicolor,$895,Pickup today in our San Diego Flagship,1487669,,Excellent,['Exterior: Frayed'],"['FASHIONPHILE Certificate of Authenticity', 'Box']","{'Length': '55 in', 'Height': '55 in'}","This an authentic HERMES Cashmere Silk Cheval De Fete Shawl 140 in Rose Vif, White, and Multicolor. This scarf is crafted of 70% cashmere and 30% silk. It features a mulitcolor abstract design of a horse."
